path,lobbies_assigned_final
2022-02-26_S1_karacorvus_1408961582,"[None, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, None, 18]"
2022-02-26_S1_br00d_1409008350,"[2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18]"
2022-02-26_S1_courtilly_1408976875,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
2022-02-26_S1_jojosolos_1408981494,"[1, 2, 4, 5, 6, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, None]"
2022-02-26_S1_jvckk_1408854534,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18]"
2022-02-26_S1_ozzaworld_1408986719,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18]"
2022-02-26_S1_skadj_1408984068,"[1, 3, 4, 5, 6, 7, None, 9, 10, 11, 12, 13, 14, 15, 16, 18]"
2022-02-26_S1_uneasypeasy_1408979614,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
