path,lobbies_assigned_final
2022-01-20_S1_jvckk_1270356984,"[None, 9, 10, None, 13, 15, None, 18, 19, 21, 24, 25, 26, 27, 28, 29, 31, None]"
2022-01-20_S1_chey_1270362110,"[9, 10, 11, 12, 13, None, None, 16, 17, None, 20, 21, 23, None, 25, 26, 27, 28, 28, 29, 31, 32, None, 34]"
2022-01-21_S1_vikramafc_1270463145,"[24, 25, None, 28, 29, 31, None, None, 35, None, None, 40, 41, None, None, None, 44, 45, 46]"
2022-01-21_S1_taydertot_1270491762,"[30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, None, None, None, 44, 45, 46, None, None, 47, 48, None, None]"
2022-01-21_S1_aplatypuss_1270525725,"[33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]"
2022-01-20_S1_kyr_1270287974,"[1, None, None, None, None, None, None, None, None, None, None, None, 4, 3, 5, 6, 7, None, None, None, 10, 11, 12, 15, 16, 17, None, None, 18, None, None, None, 20, None]"
2022-01-20_S1_chilledchaos_1270299886,"[None, 2, None, None, 3, None, 6, 7, 8, 9, 11, 14, 16, 17, 18, None, None, 23]"
2022-01-20_S1_aribunnie_1270353472,"[6, 8, 9, None, 12, 15, 16, None, None, 19, 21, 22, None, 24, 25, 26, 27, 28, 29, 30, 31]"
