path,lobbies_assigned_final
2022-01-27_S1_zeroyalviking_1277951635,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-01-27_S1_x33n_1277963261,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2022-01-27_S1_vikramafc_1277853071,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16]"
2022-01-27_S1_uneasypeasy_1277958516,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-01-27_S1_skadj_1277962846,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, None]"
2022-01-27_S1_ozzaworld_1277952318,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-01-27_S1_karacorvus_1277942347,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 15, 15, 16, 17]"
2022-01-27_S1_courtilly_1277953044,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2022-01-27_S1_br00d_1277817526,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-01-27_S1_aribunnie_1277953775,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-01-27_S1_willyutv_1277946542,"[2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17]"
