path,lobbies_assigned_final
2022-02-15_S1_karacorvus_1299093864,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-15_S1_ozzaworld_1298841125,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-15_S1_skadj_1299159405,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-15_S1_zeroyalviking_1299154832,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 15, 16, 17]"
2022-02-15_S1_irepptar_1299294423,"[14, 15, 16, 17]"
2022-02-15_S1_pwuppygf_1299142641,"[1, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, None]"
2022-02-15_S1_pastaroniravioli_1298850557,"[1, 2, 4, 5, 6, 7, 8]"
2022-02-15_S1_jvckk_1299165024,"[1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, None]"
2022-02-15_S1_aribunnie_1299159789,"[None, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 13, 14, 15, 16, 17]"
