path,lobbies_assigned_final
2022-02-10_S1_aribunnie_1293749554,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 18, 18, 20, 21, 22]"
2022-02-10_S1_atla5_w1nz_1293751009,"[1, 3, 5, 10, None, 18, None]"
2022-02-10_S1_karacorvus_1293736970,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
2022-02-10_S1_ozzaworld_1293742952,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
2022-02-10_S1_skadj_1293752715,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
2022-02-10_S1_zeroyalviking_1293754333,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22]"
2022-02-10_S1_therealshab_1293755640,"[2, None, None, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22]"
2022-02-10_S1_ressnie_1293749835,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
2022-02-10_S1_thecasperuk_1293595553,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, None]"
