path,lobbies_assigned_final
2022-03-02_S1_karacorvus_1413336647,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2022-03-02_S1_courtilly_1413378974,"[None, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2022-03-02_S1_ayanehylo_1413135250,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
2022-03-02_S1_jvckk_1413362846,"[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
2022-03-02_S1_ozzaworld_1413126374,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
2022-03-02_S1_irepptar_1413360539,"[1, None, None, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2022-03-02_S1_skadj_1413359344,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
2022-03-02_S1_vikramafc_1413353606,"[1, 2, 3, 4, 5, 6, 8, 9]"
2022-03-02_S1_zeroyalviking_1413348393,"[None, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
