path,lobbies_assigned_final
2022-05-24_S2_br00d_1492682575,"[None, None, None, None, None, None, None, None, 2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
2022-05-24_S2_skadj_1492846384,"[1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
2022-05-24_S2_karacorvus_1492848423,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21]"
2022-05-24_S2_vikramafc_1492866561,"[1, 4, 5, 6, 7, 8, 9, 11, 12, 14, None, None, 15, None, 17, 18, 19, 20, 21]"
2022-05-24_S2_jvckk_1492876223,"[1, 2, None, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
2022-05-24_S2_zeroyalviking_1492860062,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 19, 20, 21]"
2022-05-24_S2_taydertot_1492887580,"[1, 2, 3, 4, 6, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21]"
2022-05-24_S2_hcjustin_1492646230,"[None, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, None]"
