path,lobbies_assigned_final
2022-05-24_S1_pastaroniravioli_1492735774,"[7, 8, 10, 11, 12, 13, 14]"
2022-05-24_S1_br00d_1492682575,"[1, 2, 3, 4, 4, 5, 6, 7, 8, 11, None, 11, 12, 13, 14]"
2022-05-24_S1_courtilly_1492684956,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
2022-05-24_S1_vikramafc_1492539670,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14]"
2022-05-24_S1_brizzynewindsong_1492692926,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 13, 13, 14, None]"
2022-05-24_S1_irepptar_1492541708,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, None, 13, 14, None]"
2022-05-24_S1_itsdanpizza_1492683467,"[None, 1, 2, 3, None, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14]"
2022-05-24_S1_heckmuffins_1492722607,"[4, 5, 6, 7, 9, 10, 11, None, 13, 14]"
2022-05-24_S1_jayfletcher88_1492607571,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14]"
2022-05-24_S1_therealshab_1492690503,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
