path,lobbies_assigned_final
2022-02-19_S1_paulleewhirl_1303534075,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
2022-02-19_S1_brizzynewindsong_1303521364,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 15, 15, 16, 17, 18]"
2022-02-19_S1_karacorvus_1303411073,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
2022-02-19_S1_ozzaworld_1303495278,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-19_S1_ressnie_1303506638,"[1, 1, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
2022-02-19_S1_skadj_1303506502,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-19_S1_uneasypeasy_1303505870,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
2022-02-19_S1_willyutv_1303482578,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, None]"
