path,lobbies_assigned_final
2022-05-23_S1_taydertot_1492134908,"[1, 2, 3, 3, 3, 4, 5, 6, 8, 8, 8, 9, 11, 12, 13, 14, 14, 14, 15, 16, None, 16, 16, 17, 18, 19, 20, 21, 22, None]"
2022-05-24_S1_aplatypuss_1492197259,"[7, None, None, 9, 17, 19, 20, 22]"
2022-05-23_S1_chilledchaos_1492007812,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, None, None, 16, 17, 18, 19, 20, 21, 22]"
2022-05-23_S1_courtilly_1492147881,"[1, 2, 3, 4, 5, 6, 7, 8, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 18, 18, 18, 19, 20, 21, 22]"
2022-05-23_S1_karacorvus_1491981953,"[1, 2, 3, 4, 5, 6, None, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
2022-05-23_S1_vikramafc_1492133721,"[1, 2, 3, 4, 5, 6, 7, 8, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
2022-05-23_S1_zeroyalviking_1491985857,"[1, 2, 3, 4, 5, 6, 7, 8, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
2022-05-23_S1_kyr_sp33dy_1492001742,"[1, 2, 3, 3, 3, 4, 5, 6, None, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, None]"
2022-05-23_S1_dumbdog_1491888589,"[1, 2, 3, 4, 5, 6, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, None]"
2022-05-23_S1_junkyard129_1492140944,"[1, 2, 3, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
2022-05-23_S1_kruzadar_1492008202,"[1, 2, 3, 3, 3, 4, 7, 8, 11, 12, 13, 14, 16, 17, 18, 19, 19, 19, 20, 21, 22]"
2022-05-23_S1_sidearms4reason_1492190298,"[6, 7, 8, 9, 10, 11, 11, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, None]"
