path,lobbies_assigned_final
2022-01-25_S1_zeroyalviking_1275836831,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2022-01-25_S1_x33n_1275837656,"[1, 2, 3, 4, 5, 6, 7]"
2022-01-25_S1_vikramafc_1275734951,"[1, 2, 3, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16]"
2022-01-25_S1_uneasypeasy_1275838263,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2022-01-25_S1_irepptar_1275423890,"[1, 2, 3, 4, 7, 8, 9, None, 11, 12, 13, 14, 15, 16]"
2022-01-25_S1_ozzaworld_1275579039,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
2022-01-25_S1_karacorvus_1275771913,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2022-01-25_S1_jvckk_1275839756,"[1, 2, 4, 5, 6, 7, 8, 9]"
2022-01-25_S1_br00d_1275652316,"[1, 2, 3, 4, 5, 6, None, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2022-01-25_S1_aribunnie_1275835844,"[1, 2, 3, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
