path,lobbies_assigned_final
2022-03-03_S1_karacorvus_1414292457,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, None]"
2022-03-03_S1_aribunnie_1414289154,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
2022-03-03_S1_brizzynewindsong_1414133896,"[1, 2, 3, 4, 5, 6, 7, 9, 11, 12, None, None, 13, 14, 15]"
2022-03-03_S1_courtilly_1414125534,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
2022-03-03_S1_ozzaworld_1414046677,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, None]"
2022-03-03_S1_irepptar_1414043537,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
2022-03-03_S1_skadj_1414299627,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 14, 14, 15]"
2022-03-03_S1_tenmamaemi_1414290075,"[1, 2, 3, 4, 5, 6, 7, 8, 12, 13]"
2022-03-03_S1_vikramafc_1414219955,"[2, 4, 7, 8, 9, 10, 12, 13, 14, 15]"
2022-03-03_S1_zeroyalviking_1414285517,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15]"
