path,lobbies_assigned_final
2022-02-08_S1_aribunnie_1291641971,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
2022-02-08_S1_br00d_1291368912,"[None, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14]"
2022-02-08_S1_ozzaworld_1291365190,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
2022-02-08_S1_skadj_1291592126,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
2022-02-08_S1_zeroyalviking_1291634175,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, None]"
2022-02-08_S1_irepptar_1291202860,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
2022-02-08_S1_pwuppygf_1291645277,"[None, 2, 5, 7, 7, 8, 9, None, 13, 14]"
2022-02-08_S1_pastaroniravioli_1291655662,"[None, 1, 2, 3]"
2022-02-08_S1_jvckk_1291644745,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, None]"
2022-02-08_S1_kaywordley_1291589906,"[1, 2, 3, 4, 5, 6, 7, 9, 9, 9, 10, 11, 12, 13, 14]"
2022-02-08_S1_falcone_1291321648,"[1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14]"
