path,lobbies_assigned_final
2022-01-24_S1_ellum_1274928917,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14]"
2022-01-24_S1_junkyard129_1274923226,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
2022-01-24_S1_zeroyalviking_1274813793,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20]"
2022-01-24_S1_kyr_1274864066,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
2022-01-25_S1_taydertot_1274941060,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
2022-01-25_S1_sidearms4reason_1274993050,"[None, 7, 7, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
2022-01-24_S1_ozzaworld_1274694031,"[1, 2, 3, 4, 5, 6, 6, None, 9, 10, 11, 12, 13, 14, 15]"
2022-01-24_S1_skadj_1274758762,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 21, 21, 22, 24, 25, 26]"
2022-01-24_S1_reenyy_1274938945,"[1, 2, 3, 4, 5, None, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26]"
2022-01-24_S1_kruzadar_1274847943,"[2, 3, 4, 5, None, 7, 8, 9, 10, 11, 12, 13]"
2022-01-24_S1_chilledchaos_1274927346,"[1, 2, 3, 4, 5, None, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, None, 24, 25, 26, None]"
