path,lobbies_assigned_final
2022-02-12_S1_ozzaworld_1295887996,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
2022-02-12_S1_karacorvus_1296021775,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27]"
2022-02-12_S1_skadj_1296041624,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
2022-02-12_S1_uneasypeasy_1295892967,"[1, 2, None, None, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20]"
2022-02-12_S1_ressnie_1295839771,"[1, 2, None, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
2022-02-12_S1_irepptar_1295602794,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
2022-02-12_S1_paulleewhirl_1296123256,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
2022-02-12_S1_pastaroniravioli_1295888906,"[1, 2, 2, 2, 3, 4, 5, 6, 7, None, 9, 10, 11, 12, 13]"
2022-02-12_S1_courtilly_1295893271,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, None, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 25, 25, 26, 27]"
