path,lobbies_assigned_final
2022-02-04_S1_aribunnie_1286960732,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-04_S1_br00d_1286709868,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-04_S1_ozzaworld_1286941401,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-04_S1_irepptar_1286570676,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
2022-02-04_S1_ressnie_1286754361,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-04_S1_skadj_1286953830,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-04_S1_vikramafc_1286943100,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]"
2022-02-04_S1_zeroyalviking_1286961412,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-04_S1_pastaroniravioli_1286694326,"[1, 2, 3, 4]"
