path,lobbies_assigned_final
2022-02-02_S1_karacorvus_1284623042,"[None, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, None, 13, 14, 15, 16, 17]"
2022-02-02_S1_aribunnie_1284774685,"[None, 1, None, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-02_S1_vikramafc_1284627871,"[2, 3, 5, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, None]"
2022-02-02_S1_skadj_1284774676,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 14, 14, 15, 17]"
2022-02-02_S1_reenyy_1284524247,"[14, 15, 16, 17]"
2022-02-02_S1_ozzaworld_1284428561,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-02_S1_jvckk_1284774569,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-02_S1_dooleynotedgaming_1284769229,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 15, 16, 17]"
2022-02-02_S1_chilledchaos_1284766735,"[None, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
2022-02-02_S1_tenmamaemi_1284702574,"[1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 12, None, 14, 15, 16, 17]"
