path,lobbies_assigned_final
2022-02-16_S1_karacorvus_1300122577,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
2022-02-16_S1_ozzaworld_1299966238,"[1, 2, 3, 4, 5, None, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, None]"
2022-02-16_S1_zeroyalviking_1300213996,"[None, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
2022-02-16_S1_irepptar_1299810725,"[None, None, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
2022-02-16_S1_jvckk_1300214057,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18]"
2022-02-16_S1_br00d_1300246719,"[5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 18]"
2022-02-16_S1_aribunnie_1300213142,"[None, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
2022-02-16_S1_kaywordley_1300136825,"[None, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
2022-02-16_S1_ayanehylo_1299974359,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
