path,lobbies_assigned_final
2022-02-09_S1_aribunnie_1292747098,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-09_S1_karacorvus_1292697393,"[1, None, None, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-09_S1_ozzaworld_1292671974,"[None, None, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-09_S1_skadj_1292740157,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]"
2022-02-09_S1_zeroyalviking_1292747160,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2022-02-09_S1_x33n_1292747969,"[1, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-09_S1_reenyy_1292495230,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
2022-02-09_S1_reenyy_1292921134,"[16, 16]"
2022-02-09_S1_jvckk_1292749915,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-09_S1_dooleynotedgaming_1292731216,"[1, None, None, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17]"
