path,lobbies_assigned_final
2022-02-22_S1_aribunnie_1306815438,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20]"
2022-02-22_S1_courtilly_1306809392,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20]"
2022-02-22_S1_ayanehylo_1306564679,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20]"
2022-02-22_S1_skadj_1306818353,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
2022-02-22_S1_vikramafc_1306676044,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12]"
2022-02-22_S1_zeroyalviking_1306814669,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20]"
2022-02-22_S1_jvckk_1306820147,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 20, 20]"
2022-02-22_S1_karacorvus_1306817371,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 20, 20]"
2022-02-22_S1_kaywordley_1306743824,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20]"
2022-02-22_S1_ozzaworld_1306570565,"[1, None, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 13, None, 13, 13, 14, 15, 16, 17, 19, 20]"
