path,lobbies_assigned_final
2022-01-26_S1_skadj_1276937877,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]"
2022-01-26_S1_vikramafc_1276830274,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
2022-01-26_S1_uneasypeasy_1276935530,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
2022-01-26_S1_irepptar_1276593830,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
2022-01-26_S1_karacorvus_1276996959,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
2022-01-26_S1_jvckk_1276935029,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19]"
2022-01-26_S1_cheesybluenips_1276937517,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, None]"
2022-01-26_S1_br00d_1276931103,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
2022-01-26_S1_aribunnie_1276931864,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
