path,lobbies_assigned_final
2022-02-03_S1_vikramafc_1285782319,"[1, 2, 5, 7, 8, 9, 13, 14, 15, 16, 17, 18, 19]"
2022-02-03_S1_atla5_w1nz_1285817056,"[1, 2, 3, 5, 7, 11, 13, 14, 15, 16, 17, 18, 19]"
2022-02-03_S1_courtilly_1285803248,"[1, 1, 1, 2, 4, 5, 6]"
2022-02-03_S1_karacorvus_1285708012,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
2022-02-03_S1_ozzaworld_1285791352,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
2022-02-03_S1_pastaroniravioli_1285646752,"[1, 2, 3, 4]"
2022-02-03_S1_skadj_1285794493,"[5, 6, 8, None, None, 8, 10, 11, 12, 13, 18]"
2022-02-03_S1_zeroyalviking_1285793436,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 12, 13, 14, 15, 16, 17, 18, 19, 19, 19]"
2022-02-03_S1_brizzynewindsong_1285755654,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19]"
2022-02-03_S1_aribunnie_1285796162,"[1, 2, 3, 4, 5, 6, 7, None, None, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19]"
