path,lobbies_assigned_final
2022-02-21_S1_aribunnie_1305616488,"[6, 7, 8, 9, 10, 11, 12, 12, 12, 12, 13, 14, 15, 17, 18, 19, 20, 21]"
2022-02-21_S1_ressnie_1305678986,"[6, 7, 8, 8, 9, 10, 11, 12, 12, 12, 13, 14, 15, 16, 17, 19, 20]"
2022-02-21_S1_skadj_1305679101,"[6, 7, 8, 9, 10, None, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
2022-02-21_S1_uneasypeasy_1305679163,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
2022-02-21_S1_vikramafc_1305602617,"[9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21]"
2022-02-21_S1_zeroyalviking_1305681060,"[7, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 20, 21]"
2022-02-21_S1_jvckk_1305685662,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
2022-02-21_S1_karacorvus_1305670476,"[6, 7, 8, 8, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21]"
2022-02-21_S1_ozzaworld_1305501834,"[6, 7, 8, 9, 10, 11]"
2022-02-21_S1_ozzaworld_1305772320,"[12, 13, 14, 15, 16, 17, 18, 19]"
2022-02-21_S1_pastaroniravioli_1305569006,"[1, 2, None, None, None, 3, 4, 5, None, None, 7]"
2022-02-21_S1_pastaroniravioli_1305719768,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
