path,lobbies_assigned_final
2022-02-01_S1_willyutv_1283745169,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14]"
2022-02-01_S1_vikramafc_1283552794,"[1, 3, 4, 5, 7, 8, 10, 14]"
2022-02-01_S1_pwuppygf_1283690805,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
2022-02-01_S1_pjonk_1283701169,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]"
2022-02-01_S1_ozzaworld_1283448158,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11]"
2022-02-01_S1_jvckk_1283697278,"[1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
2022-02-01_S1_atla5_w1nz_1283713593,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
2022-02-01_S1_aribunnie_1283698714,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
2022-02-01_S1_jayfletcher88_1283487515,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, None]"
