path,lobbies_assigned_final
2022-02-17_S1_karacorvus_1301182406,"[None, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2022-02-17_S1_ozzaworld_1301025069,"[None, 1, 2, None, None, None, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 12, 12, 13, 14, 15, 16, None]"
2022-02-17_S1_zeroyalviking_1301249902,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2022-02-17_S1_zeroyalviking_1301205704,"[None, 1, 2, None]"
2022-02-17_S1_irepptar_1301186970,"[None, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 16]"
2022-02-17_S1_pwuppygf_1301207267,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15, 16]"
2022-02-17_S1_aribunnie_1301201513,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 12, 13, 14, 15, 16]"
2022-02-17_S1_falcone_1300982774,"[None, 1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 16]"
2022-02-17_S1_ayanehylo_1301028973,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
