path,lobbies_assigned_final
2022-03-08_S1_karacorvus_1419587818,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-03-08_S1_aribunnie_1419598855,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2022-03-08_S1_chey_1419334199,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-03-08_S1_jvckk_1419598497,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, None, 14, 15, 16, 17]"
2022-03-08_S1_ozzaworld_1419372418,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
2022-03-08_S1_skadj_1419597065,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]"
2022-03-08_S1_sophietexas_1419598088,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-03-08_S1_vikramafc_1419584317,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15]"
2022-03-08_S1_zeroyalviking_1419590252,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
