path,lobbies_assigned_final
2022-03-10_S1_karacorvus_1421516430,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
2022-03-10_S1_aribunnie_1421504296,"[1, 2, 3, 4, 5, 6, 7, 7, 7, 7, 8, 9, 10, 11, None, 13, 14, 15]"
2022-03-10_S1_thecasperuk_1421151255,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
2022-03-10_S1_courtilly_1421334477,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 13, 14, 15, 15]"
2022-03-10_S1_ozzaworld_1421487125,"[None, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
2022-03-10_S1_reenyy_1421346916,"[1, 2, 3, 4, 5, 7, 8, 9, None, None, 10, 11, 12, 13, 14, 15]"
2022-03-10_S1_skadj_1421487457,"[4, 5, 7, None, 10, None, 13, 14, 15]"
