path,lobbies_assigned_final
2022-02-24_S1_aribunnie_1406695653,"[1, 2, 3, 4, 5, None, None, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
2022-02-24_S1_falcone_1406493953,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, None, None, 11, 12, 13, 14, 16, 17, 18, 19, 20, 20, 21]"
2022-02-24_S1_ayanehylo_1406528674,"[1, 2, 3, 4, 5, None, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21]"
2022-02-24_S1_jayfletcher88_1406410103,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
2022-02-24_S1_ozzaworld_1406525225,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 17, 18, 19, 20, 21]"
2022-02-24_S1_reenyy_1406555412,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
2022-02-24_S1_skadj_1406624391,"[13, 14, 15, 17, 18, 19, 20, 21]"
2022-02-24_S1_vikramafc_1406641353,"[1, 2, 3, 4, 5, None, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, None]"
2022-02-24_S1_zeroyalviking_1406689399,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
