path,lobbies_assigned_final
2022-01-24_S2_junkyard129_1273984041,"[56, 59, 61, 62, 63, 63, 65, 66, 68, 70, 71, 72, 74, 76, None, 78, 80, 82, 84, 86, 88, 90, 91, 92]"
2022-01-23_S2_karacorvus_1273618520,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 26]"
2022-01-23_S2_courtilly_1273629897,"[3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
2022-01-23_S2_zeroyalviking_1273853177,"[30, 31, 32, 33, 34, 36, 37, 38, 39, 41, 42, 45, 48, 49, 51, 53, 54, 55, 57, 59, 61, 62, 62]"
2022-01-23_S2_kdoolz_1273872667,"[32, 33, 35, 36, 37, 38, 40, 41, 42, 44, 46, 49, 52, 53, 54, 55, 57, 59, 61, 62, 63, 63, 65, 65]"
2022-01-23_S2_kn0vis_1273875327,"[32, 33, 35, 36, 37, 38, 40, 41, 42, 44, 46, 49, 52, 53, 54, 55, 57, 59, 61, 62, 63, 63, 65, 65]"
2022-01-23_S2_cheesybluenips_1273875710,"[33, 35, 36, 37, 38, 40, 41, 43, 44, 46, 47, 49, 51, 53, 54, 55, 57, 59, 61, 62, 63, 63, 64, 65, 66, None]"
2022-01-23_S2_kyr_1273909013,"[40, 42, 44, 46, 48, 50, 52, 54, 54, 55, 58, 60, 62, 63, 63, 64, 66, 67, 68, 70, 71, 72, 73, 74, 75]"
2022-01-24_S2_sidearms4reason_1273973320,"[54, 56, 58, 60, 61, 62, 63, 64, 65, 66, None, 69, 71, 72, 73, 74, 76, 77, 79, 81, 83, 85, 87, 88, 89]"
