path,lobbies_assigned_final
2022-05-19_S1_pastaroniravioli_1488335373,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
2022-05-19_S1_br00d_1488152742,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
2022-05-19_S1_karacorvus_1488371159,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
2022-05-19_S1_taydertot_1488384900,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21]"
2022-05-19_S1_kyr_sp33dy_1488375509,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
2022-05-19_S1_cheesybluenips_1488383367,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2022-05-19_S1_jayfletcher88_1488115441,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
