path,lobbies_assigned_final
2022-03-09_S1_karacorvus_1420569442,"[1, 2, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18]"
2022-03-09_S1_aribunnie_1420567734,"[None, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
2022-03-09_S1_ayanehylo_1420366892,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, None]"
2022-03-09_S1_jvckk_1420577772,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, None]"
2022-03-09_S1_ozzaworld_1420363440,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13]"
2022-03-09_S1_skadj_1420576140,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13, 15, 16, 17]"
2022-03-09_S1_vikramafc_1420581107,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2022-03-09_S1_zeroyalviking_1420578261,"[None, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
