path,lobbies_assigned_final
2022-01-19_S1_chilledchaos_1269279997,"[None, 2, 5, None, 9, 12, 13, None, 15, 18, 20, 20, 21, 23, 24, 25, 26, 28, 29]"
2022-01-19_S1_cheesybluenips_1269283987,"[2, 3, 5, 9, 10, 13, 14, None, 16, 19, 20, 21, 22, 23, 25, 26, None, None, 29, None]"
2022-01-19_S1_courtilly_1269287106,"[2, 4, 6, 7, 9, None, 12, 13, None, 16, 18, None, None, 22, 25, 26, 27, 28, None, None, None]"
2022-01-19_S1_zeroyalviking_1269262537,"[None, 1, None, None, 6, 7, 9, 10, 12, 13, None, 18, 20, 21, 22, 23, 24, 25, 26]"
2022-01-19_S1_vikramafc_1269273036,"[None, 2, 3, 6, 9, 10, 11, 12, 14, None, 16, 17, 19, 21, 23, None, 25, 26, 28, 29]"
2022-01-19_S1_dooleynotedgaming_1269273828,"[None, None, None, 5, 6, 8, None, 10, 12, 14, 15, 16, 18, 20, None, 22, None, 24, 25, 26, None, None]"
