path,lobbies_assigned_final
2022-01-28_S1_br00d_1278999537,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 13, 14, 15, 16]"
2022-01-28_S1_junkyard129_1279078829,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, None, 15, 16, None]"
2022-01-28_S1_ozzaworld_1279079119,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2022-01-28_S1_paulleewhirl_1279197670,"[7, 8, 9, 10, 11, 12, 13, 13, 15, 16]"
2022-01-28_S1_pwuppygf_1279108654,"[1, 2, 3, 4, 4, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 13, 15, 16]"
2022-01-28_S1_reenyy_1278899919,"[3, 4, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 13, 14, 15, 16]"
2022-01-28_S1_zeroyalviking_1279088584,"[1, 2, 3, 4, 5, 6, 7, 8, 9, None, 9, 10, 11, 12, 13, 13, 15, 16]"
