path,lobbies_assigned_final
2022-02-23_S1_karacorvus_1307815036,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18]"
2022-02-23_S1_courtilly_1307871403,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
2022-02-23_S1_ayanehylo_1307637026,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
2022-02-23_S1_jvckk_1307875734,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18]"
2022-02-23_S1_ozzaworld_1307726183,"[1, 2, 3, 4, 5, 6, None, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
2022-02-23_S1_skadj_1307878042,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
2022-02-23_S1_vikramafc_1307860812,"[2, 3, 3, 3, 4, 5, 6, None, 9, 10, 10, 10, 11, 12, 13, 14, 15, 17, 18]"
2022-02-23_S1_zeroyalviking_1307874617,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
